2020-08-29 10:41:49::並未將物件參考設定為物件的執行個體。

2020-08-29 10:41:49::已經開啟一個與這個 Command 相關的 DataReader，必須先將它關閉。
2020-08-29 15:26:34::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:42::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:42::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:42::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:43::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:44::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:44::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:48::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:48::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:48::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:49::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:49::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:57::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:27:01::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:27:04::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:27:08::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:27:10::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:27:12::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:27:13::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:27:15::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:27:19::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:27:21::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:27:21::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:27:21::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:27:21::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:28:55::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:28:56::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:28:57::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:28:58::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:28:59::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:28:59::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:28:59::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:28:59::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:28:59::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:29:00::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:29:01::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:29:02::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:29:02::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:29:02::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:29:02::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:29:02::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:29:02::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:29:02::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:29:05::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:29:06::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:29:06::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:29:10::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:29:17::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

